userName,review,rating,date,bank
Bereket Kochito,Thank you,3,2024-08-12 11:06:19,BOA
zewde demsse,Very poor app b/c highly slow to open the app,1,2024-08-12 07:56:44,BOA
Sadam Mulugeta,Ok,5,2024-08-12 03:46:06,BOA
Abi 5252,best,1,2024-08-12 02:34:06,BOA
zelalem abera,Best app,5,2024-08-11 22:38:09,BOA
Letshtsgaye,Wedi Tekle .,5,2024-08-11 16:13:14,BOA
Heenok Mekuria,Bad app📱👎👎👎,1,2024-08-11 12:39:15,BOA
Dandi Terfasa,Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,5,2024-08-11 09:12:42,BOA
one More,Nice appp,5,2024-08-11 07:23:42,BOA
Yonas Worku,ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10 18:31:56,BOA
Abdiqaadir Mohamed Abdi Gurey,Gooood app my dear,5,2024-08-10 02:59:07,BOA
Harun Tamam,Harun tamam galanaa,3,2024-08-09 17:30:52,BOA
Iyou,"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",1,2024-08-08 15:31:00,BOA
Kadija Kamal,Gamebela,1,2024-08-08 15:07:21,BOA
Sura Sura,so poor app to use can't start up when open the app,1,2024-08-08 10:48:54,BOA
Tefera Lingerew,"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,2024-08-07 16:34:52,BOA
Nardos bekele,Good job,5,2024-08-07 13:56:13,BOA
Abdi Asres,"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",1,2024-08-07 13:03:34,BOA
Sened Ibrahim Sened,good,3,2024-08-07 11:50:31,BOA
Alazar Paulos,Good,5,2024-08-07 11:14:08,BOA
Mejid Mohammedsalih,Bad app .,1,2024-08-06 21:40:31,BOA
Nathnael Legesse,"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",1,2024-08-06 18:12:53,BOA
Muktar Hasen Abdullahi,Review,5,2024-08-06 18:00:43,BOA
Abebayehu Tilahun,Goood,4,2024-08-06 16:21:08,BOA
tsegaye demissie,Ok,5,2024-08-06 15:33:00,BOA
Yared Mulat,👎👎👎👎👎👎👎👎👎,1,2024-08-06 00:59:16,BOA
